horizon_hours,steps,lead_hours,fold,tau,method,group,n,coverage,coverage_lo,coverage_hi,coverage_gap,sla_violation_rate,mean_allocation_ratio,overprovision_ratio,cost,error,operator
1.5,1,1.43,0,0.95,mondrian,ALL,66,0.9545454545454546,0.8728574940886829,0.9905262614362937,0.00454545454545463,0.045454545454545456,1.198343256072309,0.23615367918056193,20.19658456155022,,gp
1.5,1,1.43,0,0.95,mondrian,baseline,66,0.9545454545454546,0.8728574940886829,0.9905262614362937,0.00454545454545463,0.045454545454545456,1.198343256072309,0.23615367918056193,20.19658456155022,,gp
1.5,1,1.43,1,0.8,marginal,ALL,66,0.803030303030303,0.6867611541519059,0.8907397343822824,0.003030303030302939,0.19696969696969696,1.0846854274715476,0.14295076407000915,18.56843069524651,,gp
1.5,1,1.43,1,0.8,marginal,baseline,49,0.8775510204081632,0.7523070316403171,0.9537109689181043,0.0775510204081632,0.12244897959183673,1.0960295316621949,0.13616646595827095,13.595143933867186,,gp
1.5,1,1.43,1,0.8,marginal,elevated_risk,17,0.5882352941176471,0.3292471539467574,0.8155630382160532,-0.21176470588235297,0.4117647058823529,1.0539985781906547,0.17212324595048353,32.903198419222214,,gp
1.5,1,1.43,1,0.8,adaptive,ALL,66,0.8484848484848485,0.7389589287110891,0.9248753700606944,0.048484848484848464,0.15151515151515152,1.0948920376145685,0.1458354401789069,16.042544881585858,,gp
1.5,1,1.43,1,0.8,adaptive,baseline,49,0.8775510204081632,0.7523070316403171,0.9537109689181043,0.0775510204081632,0.12244897959183673,1.1000230497393408,0.14559462202014248,14.810426518876827,,gp
1.5,1,1.43,1,0.8,adaptive,elevated_risk,17,0.7647058823529411,0.5010067267954201,0.9318922595626433,-0.03529411764705892,0.23529411764705882,1.0810121760507847,0.14663199255020454,19.593944868217786,,gp
1.5,1,1.43,1,0.8,mondrian,ALL,66,0.803030303030303,0.6867611541519059,0.8907397343822824,0.003030303030302939,0.19696969696969696,1.0846854274715476,0.14295076407000915,18.56843069524651,,gp
1.5,1,1.43,1,0.8,mondrian,baseline,49,0.8775510204081632,0.7523070316403171,0.9537109689181043,0.0775510204081632,0.12244897959183673,1.0960295316621949,0.13616646595827095,13.595143933867186,,gp
1.5,1,1.43,1,0.8,mondrian,elevated_risk,17,0.5882352941176471,0.3292471539467574,0.8155630382160532,-0.21176470588235297,0.4117647058823529,1.0539985781906547,0.17212324595048353,32.903198419222214,,gp
1.5,1,1.43,1,0.9,marginal,ALL,66,0.8939393939393939,0.793606517867613,0.9562815509014071,-0.0060606060606061,0.10606060606060606,1.1323173711305796,0.17760053432461195,16.160151789595464,,gp
1.5,1,1.43,1,0.9,marginal,baseline,49,0.9591836734693877,0.8602128129775362,0.9950181581650287,0.05918367346938769,0.04081632653061224,1.1444654334462616,0.1743347369362675,14.819912051983023,,gp
1.5,1,1.43,1,0.9,marginal,elevated_risk,17,0.7058823529411765,0.4404172812456629,0.8968644856296799,-0.1941176470588235,0.29411764705882354,1.0994557408888919,0.19039157409562782,20.02319573918428,,gp
