operator,fold,tau,method,group,n,coverage,coverage_lo,coverage_hi,coverage_gap,sla_violation_rate,mean_allocation_ratio,overprovision_ratio,cost,error
robi,5,0.9,adaptive,baseline,36,0.6388888888888888,0.46220900016816396,0.7917770529134072,-0.2611111111111112,0.3611111111111111,1.0503662809077488,0.2612879957463913,94.47771331427094,
robi,5,0.9,adaptive,elevated_risk,29,0.6551724137931034,0.4566942723320568,0.8206163507648881,-0.2448275862068966,0.3448275862068966,1.1147622069192555,0.36311128444296525,49.498015152526946,
robi,5,0.9,mondrian,ALL,65,0.7846153846153846,0.6651126854524477,0.87694692475782,-0.11538461538461542,0.2153846153846154,1.1162163222223092,0.29692076808590506,78.83134390024038,
robi,5,0.9,mondrian,baseline,36,0.75,0.5779704154218559,0.8787967058761648,-0.15000000000000002,0.25,1.1072580435248665,0.29126596354257567,85.99324495103625,
robi,5,0.9,mondrian,elevated_risk,29,0.8275862068965517,0.642252445585356,0.9415439170273656,-0.07241379310344831,0.1724137931034483,1.1276838250637549,0.30328242319715065,69.94070811304553,
robi,5,0.95,marginal,ALL,65,0.8,0.6823120281183095,0.8889841651132548,-0.1499999999999999,0.2,1.154575257667366,0.3384821360359019,71.5766101168119,
robi,5,0.95,marginal,baseline,36,0.75,0.5779704154218559,0.8787967058761648,-0.19999999999999996,0.25,1.1345986511725383,0.32464814868401637,78.29630189683702,
robi,5,0.95,marginal,elevated_risk,29,0.8620689655172413,0.6833593905608624,0.9611051687045611,-0.08793103448275863,0.13793103448275862,1.1801473345672795,0.35342284237593824,63.23492376919451,
robi,5,0.95,adaptive,ALL,65,0.7538461538461538,0.6312714174061591,0.8522769454002582,-0.19615384615384612,0.24615384615384617,1.122581631536986,0.31912102679860044,57.166745282986575,
robi,5,0.95,adaptive,baseline,36,0.6944444444444444,0.51892936999992,0.8365260153715064,-0.25555555555555554,0.3055555555555556,1.0896533216249473,0.2889808771205036,74.37881695130103,
robi,5,0.95,adaptive,elevated_risk,29,0.8275862068965517,0.642252445585356,0.9415439170273656,-0.12241379310344824,0.1724137931034483,1.1647331988451222,0.350517016046618,35.80003562576862,
robi,5,0.95,mondrian,ALL,65,0.8153846153846154,0.6997163826053059,0.90080033981516,-0.13461538461538458,0.18461538461538463,1.2022147770267908,0.3937602092543172,67.40449125788763,
robi,5,0.95,mondrian,baseline,36,0.75,0.5779704154218559,0.8787967058761648,-0.19999999999999996,0.25,1.1388454404321025,0.3298333701372603,77.1007434251573,
robi,5,0.95,mondrian,elevated_risk,29,0.896551724137931,0.7264848021075772,0.9781362631701463,-0.053448275862068906,0.10344827586206896,1.2833339375266237,0.46014577295279946,55.367764429552786,
robi,6,0.8,marginal,ALL,65,0.7846153846153846,0.6651126854524477,0.87694692475782,-0.015384615384615441,0.2153846153846154,1.1419279116051395,0.30043510118438654,53.0660954636794,
robi,6,0.8,marginal,baseline,65,0.7846153846153846,0.6651126854524477,0.87694692475782,-0.015384615384615441,0.2153846153846154,1.1419279116051395,0.30043510118438654,53.0660954636794,
robi,6,0.8,adaptive,ALL,65,0.8153846153846154,0.6997163826053059,0.90080033981516,0.01538461538461533,0.18461538461538463,1.160717335041589,0.3084648734803915,41.450342192925845,
robi,6,0.8,adaptive,baseline,65,0.8153846153846154,0.6997163826053059,0.90080033981516,0.01538461538461533,0.18461538461538463,1.160717335041589,0.3084648734803915,41.450342192925845,
robi,6,0.8,mondrian,ALL,65,0.7846153846153846,0.6651126854524477,0.87694692475782,-0.015384615384615441,0.2153846153846154,1.146724304782244,0.3065527891897351,52.15772525728667,
robi,6,0.8,mondrian,baseline,65,0.7846153846153846,0.6651126854524477,0.87694692475782,-0.015384615384615441,0.2153846153846154,1.146724304782244,0.3065527891897351,52.15772525728667,
robi,6,0.9,marginal,ALL,65,0.9538461538461539,0.8709887201017411,0.9903789211596614,0.05384615384615388,0.046153846153846156,1.27325472212648,0.39310194927032766,44.12535024320164,
robi,6,0.9,marginal,baseline,65,0.9538461538461539,0.8709887201017411,0.9903789211596614,0.05384615384615388,0.046153846153846156,1.27325472212648,0.39310194927032766,44.12535024320164,
