operator,model,horizon_hours,lead_hours,fold,tau,method,n,coverage,mean_allocation_ratio,natively_expressible
gp,chronos-bolt-small,6.0,5.73,7,0.8,zero_shot,69,0.8405797101449275,1.1321999036689603,True
gp,chronos-bolt-small,6.0,5.73,7,0.8,conformal,69,0.855072463768116,1.1392105346516126,True
gp,chronos-bolt-small,6.0,5.73,7,0.9,zero_shot,69,0.9130434782608696,1.1891612341112459,True
gp,chronos-bolt-small,6.0,5.73,7,0.9,conformal,69,0.9565217391304348,1.2146935618020522,True
gp,chronos-bolt-small,6.0,5.73,7,0.95,zero_shot,69,0.9130434782608696,1.1891612341112459,False
gp,chronos-bolt-small,6.0,5.73,7,0.95,conformal,69,0.9710144927536232,1.2630365399187058,False
gp,chronos-bolt-small,12.0,11.47,0,0.8,zero_shot,66,0.7878787878787878,1.151432978796173,True
gp,chronos-bolt-small,12.0,11.47,0,0.8,conformal,66,0.8636363636363636,1.1870142687233527,True
gp,chronos-bolt-small,12.0,11.47,0,0.9,zero_shot,66,0.9090909090909091,1.2037208948459648,True
gp,chronos-bolt-small,12.0,11.47,0,0.9,conformal,66,1.0,1.2727976103529695,True
gp,chronos-bolt-small,12.0,11.47,0,0.95,zero_shot,66,0.9090909090909091,1.2037208948459648,False
gp,chronos-bolt-small,12.0,11.47,0,0.95,conformal,66,1.0,1.2941507548293685,False
gp,chronos-bolt-small,12.0,11.47,1,0.8,zero_shot,66,0.7424242424242424,1.1246411148062248,True
gp,chronos-bolt-small,12.0,11.47,1,0.8,conformal,66,0.8939393939393939,1.179093161989675,True
gp,chronos-bolt-small,12.0,11.47,1,0.9,zero_shot,66,0.8787878787878788,1.1770980194378415,True
gp,chronos-bolt-small,12.0,11.47,1,0.9,conformal,66,0.9848484848484849,1.2118010092530718,True
gp,chronos-bolt-small,12.0,11.47,1,0.95,zero_shot,66,0.8787878787878788,1.1770980194378415,False
gp,chronos-bolt-small,12.0,11.47,1,0.95,conformal,66,1.0,1.2526089357686365,False
gp,chronos-bolt-small,12.0,11.47,2,0.8,zero_shot,66,0.8636363636363636,1.1596332229950896,True
gp,chronos-bolt-small,12.0,11.47,2,0.8,conformal,66,0.9242424242424242,1.1843962419291185,True
gp,chronos-bolt-small,12.0,11.47,2,0.9,zero_shot,66,0.9393939393939394,1.2167046914093766,True
gp,chronos-bolt-small,12.0,11.47,2,0.9,conformal,66,0.9393939393939394,1.2266845182346096,True
gp,chronos-bolt-small,12.0,11.47,2,0.95,zero_shot,66,0.9393939393939394,1.2167046914093766,False
gp,chronos-bolt-small,12.0,11.47,2,0.95,conformal,66,0.9545454545454546,1.248101451485525,False
gp,chronos-bolt-small,12.0,11.47,3,0.8,zero_shot,66,0.9393939393939394,1.1537589524473628,True
gp,chronos-bolt-small,12.0,11.47,3,0.8,conformal,66,0.9545454545454546,1.1637951144107073,True
gp,chronos-bolt-small,12.0,11.47,3,0.9,zero_shot,66,0.9696969696969697,1.2074520307506877,True
gp,chronos-bolt-small,12.0,11.47,3,0.9,conformal,66,0.9696969696969697,1.211510756790052,True
gp,chronos-bolt-small,12.0,11.47,3,0.95,zero_shot,66,0.9696969696969697,1.2074520307506877,False
gp,chronos-bolt-small,12.0,11.47,3,0.95,conformal,66,0.9696969696969697,1.227130392502753,False
gp,chronos-bolt-small,12.0,11.47,4,0.8,zero_shot,66,0.8484848484848485,1.1183819804408364,True
gp,chronos-bolt-small,12.0,11.47,4,0.8,conformal,66,0.7272727272727273,1.0874244414867218,True
gp,chronos-bolt-small,12.0,11.47,4,0.9,zero_shot,66,0.9090909090909091,1.1702279854036166,True
gp,chronos-bolt-small,12.0,11.47,4,0.9,conformal,66,0.8484848484848485,1.1264070124830916,True
gp,chronos-bolt-small,12.0,11.47,4,0.95,zero_shot,66,0.9090909090909091,1.1702279854036166,False
gp,chronos-bolt-small,12.0,11.47,4,0.95,conformal,66,0.9242424242424242,1.1758917336604224,False
gp,chronos-bolt-small,12.0,11.47,5,0.8,zero_shot,66,0.5303030303030303,1.0362433226995418,True
gp,chronos-bolt-small,12.0,11.47,5,0.8,conformal,66,0.4545454545454546,1.009142529293857,True
gp,chronos-bolt-small,12.0,11.47,5,0.9,zero_shot,66,0.696969696969697,1.0908310511825945,True
gp,chronos-bolt-small,12.0,11.47,5,0.9,conformal,66,0.5454545454545454,1.0420204701349376,True
gp,chronos-bolt-small,12.0,11.47,5,0.95,zero_shot,66,0.696969696969697,1.0908310511825945,False
gp,chronos-bolt-small,12.0,11.47,5,0.95,conformal,66,0.6212121212121212,1.0733673820810754,False
gp,chronos-bolt-small,12.0,11.47,6,0.8,zero_shot,66,0.9545454545454546,1.1816024564188072,True
gp,chronos-bolt-small,12.0,11.47,6,0.8,conformal,66,0.9848484848484849,1.195856647093438,True
gp,chronos-bolt-small,12.0,11.47,6,0.9,zero_shot,66,1.0,1.2407280880376654,True
gp,chronos-bolt-small,12.0,11.47,6,0.9,conformal,66,1.0,1.2748257069041313,True
gp,chronos-bolt-small,12.0,11.47,6,0.95,zero_shot,66,1.0,1.2407280880376654,False
gp,chronos-bolt-small,12.0,11.47,6,0.95,conformal,66,1.0,1.2982911807822202,False
gp,chronos-bolt-small,12.0,11.47,7,0.8,zero_shot,67,0.8805970149253731,1.1567997880926775,True
gp,chronos-bolt-small,12.0,11.47,7,0.8,conformal,67,0.8805970149253731,1.1525130960812786,True
gp,chronos-bolt-small,12.0,11.47,7,0.9,zero_shot,67,0.9402985074626866,1.2167234417050714,True
gp,chronos-bolt-small,12.0,11.47,7,0.9,conformal,67,0.9701492537313433,1.2296169423288332,True
gp,chronos-bolt-small,12.0,11.47,7,0.95,zero_shot,67,0.9402985074626866,1.2167234417050714,False
gp,chronos-bolt-small,12.0,11.47,7,0.95,conformal,67,0.9850746268656716,1.272667997800227,False
gp,chronos-bolt-small,24.0,24.37,0,0.8,zero_shot,65,0.7230769230769231,1.1293815547856882,True
gp,chronos-bolt-small,24.0,24.37,0,0.8,conformal,65,0.9538461538461538,1.2271361746294431,True
gp,chronos-bolt-small,24.0,24.37,0,0.9,zero_shot,65,0.8461538461538461,1.1827649243838323,True
gp,chronos-bolt-small,24.0,24.37,0,0.9,conformal,65,0.9846153846153847,1.2599132554948176,True
gp,chronos-bolt-small,24.0,24.37,0,0.95,zero_shot,65,0.8461538461538461,1.1827649243838323,False
gp,chronos-bolt-small,24.0,24.37,0,0.95,conformal,65,1.0,1.3066020446108146,False
gp,chronos-bolt-small,24.0,24.37,1,0.8,zero_shot,65,0.7384615384615385,1.1195508090893347,True
gp,chronos-bolt-small,24.0,24.37,1,0.8,conformal,65,0.8923076923076922,1.1953526033084856,True
gp,chronos-bolt-small,24.0,24.37,1,0.9,zero_shot,65,0.8615384615384616,1.1750876333749023,True
gp,chronos-bolt-small,24.0,24.37,1,0.9,conformal,65,0.9692307692307692,1.2358223427841986,True
gp,chronos-bolt-small,24.0,24.37,1,0.95,zero_shot,65,0.8615384615384616,1.1750876333749023,False
gp,chronos-bolt-small,24.0,24.37,1,0.95,conformal,65,1.0,1.2960415984368197,False
gp,chronos-bolt-small,24.0,24.37,2,0.8,zero_shot,65,0.6923076923076923,1.1173996713311805,True
gp,chronos-bolt-small,24.0,24.37,2,0.8,conformal,65,0.8461538461538461,1.1642478647195587,True
gp,chronos-bolt-small,24.0,24.37,2,0.9,zero_shot,65,0.8769230769230769,1.178744384689511,True
gp,chronos-bolt-small,24.0,24.37,2,0.9,conformal,65,0.9076923076923077,1.2187166480418377,True
gp,chronos-bolt-small,24.0,24.37,2,0.95,zero_shot,65,0.8769230769230769,1.178744384689511,False
gp,chronos-bolt-small,24.0,24.37,2,0.95,conformal,65,0.9384615384615385,1.2380383557028147,False
gp,chronos-bolt-small,24.0,24.37,3,0.8,zero_shot,65,0.8307692307692307,1.1237860915316094,True
gp,chronos-bolt-small,24.0,24.37,3,0.8,conformal,65,0.9538461538461538,1.1643234391690505,True
gp,chronos-bolt-small,24.0,24.37,3,0.9,zero_shot,65,0.9692307692307692,1.1815114577494408,True
gp,chronos-bolt-small,24.0,24.37,3,0.9,conformal,65,0.9692307692307692,1.214208491417565,True
gp,chronos-bolt-small,24.0,24.37,3,0.95,zero_shot,65,0.9692307692307692,1.1815114577494408,False
gp,chronos-bolt-small,24.0,24.37,3,0.95,conformal,65,0.9846153846153847,1.2533994269849416,False
gp,chronos-bolt-small,24.0,24.37,4,0.8,zero_shot,65,0.7384615384615385,1.0955641642432423,True
gp,chronos-bolt-small,24.0,24.37,4,0.8,conformal,65,0.8461538461538461,1.1204185982787744,True
gp,chronos-bolt-small,24.0,24.37,4,0.9,zero_shot,65,0.9076923076923077,1.1514216863026752,True
gp,chronos-bolt-small,24.0,24.37,4,0.9,conformal,65,0.9076923076923077,1.1725714359317798,True
gp,chronos-bolt-small,24.0,24.37,4,0.95,zero_shot,65,0.9076923076923077,1.1514216863026752,False
gp,chronos-bolt-small,24.0,24.37,4,0.95,conformal,65,0.9230769230769231,1.2130092153234133,False
gp,chronos-bolt-small,24.0,24.37,5,0.8,zero_shot,65,0.4,0.9908057953614984,True
gp,chronos-bolt-small,24.0,24.37,5,0.8,conformal,65,0.41538461538461535,0.9931196611320735,True
gp,chronos-bolt-small,24.0,24.37,5,0.9,zero_shot,65,0.49230769230769234,1.0464915291282912,True
gp,chronos-bolt-small,24.0,24.37,5,0.9,conformal,65,0.49230769230769234,1.0362033384223466,True
gp,chronos-bolt-small,24.0,24.37,5,0.95,zero_shot,65,0.49230769230769234,1.0464915291282912,False
gp,chronos-bolt-small,24.0,24.37,5,0.95,conformal,65,0.6,1.08277449241409,False
gp,chronos-bolt-small,24.0,24.37,6,0.8,zero_shot,65,0.8615384615384616,1.144521306455234,True
gp,chronos-bolt-small,24.0,24.37,6,0.8,conformal,65,0.9230769230769231,1.1766942769866304,True
gp,chronos-bolt-small,24.0,24.37,6,0.9,zero_shot,65,0.9692307692307692,1.2095938194136002,True
gp,chronos-bolt-small,24.0,24.37,6,0.9,conformal,65,1.0,1.2646712158803475,True
gp,chronos-bolt-small,24.0,24.37,6,0.95,zero_shot,65,0.9692307692307692,1.2095938194136002,False
gp,chronos-bolt-small,24.0,24.37,6,0.95,conformal,65,1.0,1.2960516423254564,False
gp,chronos-bolt-small,24.0,24.37,7,0.8,zero_shot,69,0.7536231884057971,1.1180927630548614,True
gp,chronos-bolt-small,24.0,24.37,7,0.8,conformal,69,0.8115942028985508,1.159623104401044,True
gp,chronos-bolt-small,24.0,24.37,7,0.9,zero_shot,69,0.8695652173913043,1.184918457099213,True
gp,chronos-bolt-small,24.0,24.37,7,0.9,conformal,69,0.9565217391304348,1.262233899915517,True
gp,chronos-bolt-small,24.0,24.37,7,0.95,zero_shot,69,0.8695652173913043,1.184918457099213,False
gp,chronos-bolt-small,24.0,24.37,7,0.95,conformal,69,1.0,1.3212730656186231,False
robi,chronos-bolt-small,1.5,1.65,0,0.8,zero_shot,65,0.6615384615384615,1.1030084491760537,True
robi,chronos-bolt-small,1.5,1.65,0,0.8,conformal,65,0.8769230769230769,1.1502276426965856,True
robi,chronos-bolt-small,1.5,1.65,0,0.9,zero_shot,65,0.8769230769230769,1.1612722369617139,True
robi,chronos-bolt-small,1.5,1.65,0,0.9,conformal,65,0.9538461538461538,1.2333888490564668,True
robi,chronos-bolt-small,1.5,1.65,0,0.95,zero_shot,65,0.8769230769230769,1.1612722369617139,False
robi,chronos-bolt-small,1.5,1.65,0,0.95,conformal,65,0.9538461538461538,1.2577220405373346,False
robi,chronos-bolt-small,1.5,1.65,1,0.8,zero_shot,65,0.7384615384615385,1.154475514288341,True
robi,chronos-bolt-small,1.5,1.65,1,0.8,conformal,65,0.7846153846153846,1.1877018380152335,True
robi,chronos-bolt-small,1.5,1.65,1,0.9,zero_shot,65,0.8307692307692307,1.2196413707102203,True
robi,chronos-bolt-small,1.5,1.65,1,0.9,conformal,65,0.8923076923076922,1.2445683212603627,True
